Index,Protein,ENTREZ_ID,Symbol,GAPR,p.value,p.adjust,logPvalue
1,7019,ENTREZ_7019,TFAM,1st layer,2.72E-06,7.24E-05,4.140068469
2,84365,ENTREZ_84365,NIFK,1st layer,4.27E-06,9.76E-05,4.010506484
3,55212,ENTREZ_55212,BBS7,1st layer,1.08E-05,0.000216302,3.664939063
4,10694,ENTREZ_10694,CCT8,1st layer,1.68E-05,0.000298243,3.525430056
5,3015,ENTREZ_3015,H2AFZ,1st layer,3.26E-05,0.000473699,3.324497612
6,7295,ENTREZ_7295,TXN,1st layer,3.85E-05,0.000513037,3.289851112
7,4697,ENTREZ_4697,NDUFA4,1st layer,6.62E-05,0.000814445,3.089138103
8,84324,ENTREZ_84324,SARNP,1st layer,0.000123444,0.001234442,2.908529223
9,5621,ENTREZ_5621,PRNP,1st layer,0.000136579,0.001285454,2.890943436
10,51010,ENTREZ_51010,EXOSC3,1st layer,0.000234894,0.001978058,2.703761035
11,4691,ENTREZ_4691,NCL,1st layer,0.00029826,0.002272455,2.643504675
12,80258,ENTREZ_80258,EFHC2,1st layer,0.000474223,0.00329894,2.481625609
13,2618,ENTREZ_2618,GART,1st layer,0.001044184,0.006425745,2.192076527
14,819,ENTREZ_819,CAMLG,1st layer,0.001234855,0.00731766,2.135627744
15,6233,ENTREZ_6233,RPS27A,1st layer,0.003441407,0.0177621,1.750505688
16,10733,ENTREZ_10733,PLK4,1st layer,0.00478353,0.02251073,1.647610414
17,3635,ENTREZ_3635,INPP5D,1st layer,0.006126044,0.027226862,1.565002404
18,5870,ENTREZ_5870,RAB6A,1st layer,0.00861001,0.03532312,1.451940946
19,28514,ENTREZ_28514,DLL1,1st layer,0.009824314,0.039297255,1.405637789
20,10063,ENTREZ_10063,COX17,1st layer,0.010484892,0.040916654,1.388099893
21,10890,ENTREZ_10890,RAB10,1st layer,0.01154717,0.042966214,1.366872914
22,8631,ENTREZ_8631,SKAP1,1st layer,0.015303231,0.054411488,1.264309395
23,9841,ENTREZ_9841,ZBTB24,1st layer,0.02596076,0.088377056,1.053660469
24,5329,ENTREZ_5329,PLAUR,1st layer,0.029017252,0.096724174,1.014464969
25,53829,ENTREZ_53829,P2RY13,1st layer,0.032362576,0.103560244,0.984806937
26,727,ENTREZ_727,C5,1st layer,0.082089927,0.238807062,0.621952835
27,10971,ENTREZ_10971,YWHAQ,1st layer,0.085770297,0.245057992,0.61073113
28,5724,ENTREZ_5724,PTAFR,1st layer,0.089571102,0.247092694,0.607140095
29,7311,ENTREZ_7311,UBA52,1st layer,0.103845852,0.281615869,0.550342876
30,26270,ENTREZ_26270,FBXO6,1st layer,0.142400452,0.37973454,0.420519898
31,7884,ENTREZ_7884,SLBP,1st layer,0.180008989,0.450022472,0.3467658
32,5108,ENTREZ_5108,PCM1,1st layer,0.183136413,0.450797325,0.346018669
33,411,ENTREZ_411,ARSB,1st layer,0.205952505,0.484594129,0.314621852
34,8464,ENTREZ_8464,SUPT3H,1st layer,0.209342464,0.485431801,0.313871776
35,25843,ENTREZ_25843,MOB4,1st layer,0.279614199,0.596510292,0.224382059
36,55558,ENTREZ_55558,PLXNA3,1st layer,0.271719338,0.596510292,0.224382059
37,8498,ENTREZ_8498,RANBP3,1st layer,0.279614199,0.596510292,0.224382059
38,56993,ENTREZ_56993,TOMM22,1st layer,0.291658496,0.614017886,0.211818978
39,4211,ENTREZ_4211,MEIS1,1st layer,0.295725618,0.614494791,0.211481794
40,5058,ENTREZ_5058,PAK1,1st layer,0.299818261,0.615011817,0.211116539
41,79365,ENTREZ_79365,BHLHE41,1st layer,0.316435726,0.640882484,0.193221598
42,6119,ENTREZ_6119,RPA3,1st layer,0.329145852,0.658291704,0.181581618
43,8323,ENTREZ_8323,FZD6,1st layer,0.413669105,0.796702475,0.098703834
44,3727,ENTREZ_3727,JUND,1st layer,0.427500748,0.803966108,0.094762259
45,5601,ENTREZ_5601,MAPK9,1st layer,0.432131783,0.803966108,0.094762259
46,2247,ENTREZ_2247,FGF2,1st layer,0.455412815,0.827127749,0.082427409
47,3897,ENTREZ_3897,L1CAM,1st layer,0.46008981,0.827127749,0.082427409
48,11035,ENTREZ_11035,RIPK3,1st layer,0.483543857,0.850187002,0.070485539
49,10155,ENTREZ_10155,TRIM28,1st layer,0.994485058,0.999997771,9.68E-07
50,10318,ENTREZ_10318,TNIP1,1st layer,0.992213417,0.999997771,9.68E-07
51,10555,ENTREZ_10555,AGPAT2,1st layer,0.999259557,0.999997771,9.68E-07
52,10898,ENTREZ_10898,CPSF4,1st layer,0.865472886,0.999997771,9.68E-07
53,1454,ENTREZ_1454,CSNK1E,1st layer,0.797405111,0.999997771,9.68E-07
54,1509,ENTREZ_1509,CTSD,1st layer,0.999656559,0.999997771,9.68E-07
55,1741,ENTREZ_1741,DLG3,1st layer,0.691921535,0.999997771,9.68E-07
56,2239,ENTREZ_2239,GPC4,1st layer,0.921471769,0.999997771,9.68E-07
57,23170,ENTREZ_23170,TTLL12,1st layer,0.998602129,0.999997771,9.68E-07
58,23450,ENTREZ_23450,SF3B3,1st layer,0.998602129,0.999997771,9.68E-07
59,23641,ENTREZ_23641,LDOC1,1st layer,0.998482949,0.999997771,9.68E-07
60,25,ENTREZ_25,ABL1,1st layer,0.97748136,0.999997771,9.68E-07
61,2512,ENTREZ_2512,FTL,1st layer,0.999961522,0.999997771,9.68E-07
62,26123,ENTREZ_26123,TCTN3,1st layer,0.958958315,0.999997771,9.68E-07
63,2771,ENTREZ_2771,GNAI2,1st layer,0.997738944,0.999997771,9.68E-07
64,2896,ENTREZ_2896,GRN,1st layer,0.999741413,0.999997771,9.68E-07
65,29928,ENTREZ_29928,TIMM22,1st layer,0.994862172,0.999997771,9.68E-07
66,3927,ENTREZ_3927,LASP1,1st layer,0.9999971,0.999997771,9.68E-07
67,4641,ENTREZ_4641,MYO1C,1st layer,0.998765145,0.999997771,9.68E-07
68,5590,ENTREZ_5590,PRKCZ,1st layer,0.999080902,0.999997771,9.68E-07
69,5879,ENTREZ_5879,RAC1,1st layer,0.99985638,0.999997771,9.68E-07
70,6293,ENTREZ_6293,VPS52,1st layer,0.999776189,0.999997771,9.68E-07
71,6829,ENTREZ_6829,SUPT5H,1st layer,0.999978099,0.999997771,9.68E-07
72,6844,ENTREZ_6844,VAMP2,1st layer,0.999192267,0.999997771,9.68E-07
73,7132,ENTREZ_7132,TNFRSF1A,1st layer,0.99735983,0.999997771,9.68E-07
74,7334,ENTREZ_7334,UBE2N,1st layer,0.57712045,0.999997771,9.68E-07
75,81631,ENTREZ_81631,MAP1LC3B,1st layer,0.843806477,0.999997771,9.68E-07
76,823,ENTREZ_823,CAPN1,1st layer,0.875504043,0.999997771,9.68E-07
77,8314,ENTREZ_8314,BAP1,1st layer,0.988078844,0.999997771,9.68E-07
78,83593,ENTREZ_83593,RASSF5,1st layer,0.61366343,0.999997771,9.68E-07
79,9191,ENTREZ_9191,DEDD,1st layer,0.96934734,0.999997771,9.68E-07
80,6637,ENTREZ_6637,SNRPG,2nd layer,1.15E-08,1.83E-06,5.736778722
81,51382,ENTREZ_51382,ATP6V1D,2nd layer,9.21E-07,4.91E-05,4.308893311
82,23412,ENTREZ_23412,COMMD3,2nd layer,2.23E-06,7.24E-05,4.140068469
83,2958,ENTREZ_2958,GTF2A2,2nd layer,7.75E-05,0.000886259,3.052439147
84,1894,ENTREZ_1894,ECT2,2nd layer,0.000117323,0.001234442,2.908529223
85,55872,ENTREZ_55872,PBK,2nd layer,0.000166799,0.001482656,2.828959528
86,7323,ENTREZ_7323,UBE2D3,2nd layer,0.000376953,0.00274148,2.562014952
87,9522,ENTREZ_9522,SCAMP1,2nd layer,0.001341499,0.007665711,2.115447564
88,9319,ENTREZ_9319,TRIP13,2nd layer,0.003315139,0.017680741,1.752499548
89,4712,ENTREZ_4712,NDUFB6,2nd layer,0.006795472,0.028612515,1.54344396
90,10051,ENTREZ_10051,SMC4,2nd layer,0.010829253,0.041254297,1.384530805
91,55288,ENTREZ_55288,RHOT1,2nd layer,0.020641904,0.071797927,1.143888095
92,6872,ENTREZ_6872,TAF1,2nd layer,0.029825787,0.097390326,1.01148418
93,7023,ENTREZ_7023,TFAP4,2nd layer,0.044317329,0.139034756,0.85687662
94,6619,ENTREZ_6619,SNAPC3,2nd layer,0.054073385,0.166379645,0.778899806
95,1308,ENTREZ_1308,COL17A1,2nd layer,0.089571102,0.247092694,0.607140095
96,10892,ENTREZ_10892,MALT1,2nd layer,0.150575481,0.394952082,0.403455592
97,55646,ENTREZ_55646,LYAR,2nd layer,0.189490824,0.459371695,0.337835768
98,3093,ENTREZ_3093,UBE2K,2nd layer,0.263935557,0.594784354,0.225640464
99,950,ENTREZ_950,SCARB2,2nd layer,0.275653058,0.596510292,0.224382059
100,6203,ENTREZ_6203,RPS9,2nd layer,0.418268799,0.796702475,0.098703834
101,5029,ENTREZ_5029,P2RY2,2nd layer,0.450741909,0.827127749,0.082427409
102,2773,ENTREZ_2773,GNAI3,2nd layer,0.47415098,0.842935075,0.074205874
103,2309,ENTREZ_2309,FOXO3,2nd layer,0.995549114,0.999997771,9.68E-07
104,2873,ENTREZ_2873,GPS1,2nd layer,0.982195135,0.999997771,9.68E-07
105,3693,ENTREZ_3693,ITGB5,2nd layer,0.996558593,0.999997771,9.68E-07
106,5048,ENTREZ_5048,PAFAH1B1,2nd layer,0.739913832,0.999997771,9.68E-07
107,5298,ENTREZ_5298,PI4KB,2nd layer,0.990492317,0.999997771,9.68E-07
108,5339,ENTREZ_5339,PLEC,2nd layer,0.999997771,0.999997771,9.68E-07
109,55290,ENTREZ_55290,BRF2,2nd layer,0.978122104,0.999997771,9.68E-07
110,5595,ENTREZ_5595,MAPK3,2nd layer,0.990175686,0.999997771,9.68E-07
111,6811,ENTREZ_6811,STX5,2nd layer,0.997555932,0.999997771,9.68E-07
112,7205,ENTREZ_7205,TRIP6,2nd layer,0.999988515,0.999997771,9.68E-07
113,7283,ENTREZ_7283,TUBG1,2nd layer,0.708341504,0.999997771,9.68E-07
114,7317,ENTREZ_7317,UBA1,2nd layer,0.736064443,0.999997771,9.68E-07
115,7392,ENTREZ_7392,USF2,2nd layer,0.994676541,0.999997771,9.68E-07
116,79720,ENTREZ_79720,VPS37B,2nd layer,0.994083922,0.999997771,9.68E-07
117,6643,ENTREZ_6643,SNX2,3rd layer,2.19E-05,0.000350416,3.45541659
118,10813,ENTREZ_10813,UTP14A,3rd layer,0.003846131,0.018647908,1.729369888
119,1787,ENTREZ_1787,TRDMT1,3rd layer,0.070130968,0.211716129,0.674246055
120,9984,ENTREZ_9984,THOC1,3rd layer,0.21621874,0.494214263,0.306084725
121,9443,ENTREZ_9443,MED7,3rd layer,0.35514673,0.69296923,0.159286049
122,10459,ENTREZ_10459,MAD2L2,3rd layer,0.957888667,0.999997771,9.68E-07
123,10594,ENTREZ_10594,PRPF8,3rd layer,0.999967433,0.999997771,9.68E-07
124,1108,ENTREZ_1108,CHD4,3rd layer,0.716397599,0.999997771,9.68E-07
125,1445,ENTREZ_1445,CSK,3rd layer,0.975464873,0.999997771,9.68E-07
126,374291,ENTREZ_374291,NDUFS7,3rd layer,0.662269971,0.999997771,9.68E-07
127,391,ENTREZ_391,RHOG,3rd layer,0.739913832,0.999997771,9.68E-07
128,5708,ENTREZ_5708,PSMD2,3rd layer,0.990492317,0.999997771,9.68E-07
129,8975,ENTREZ_8975,USP13,3rd layer,0.98845283,0.999997771,9.68E-07
130,9114,ENTREZ_9114,ATP6V0D1,3rd layer,0.999806619,0.999997771,9.68E-07
131,51639,ENTREZ_51639,SF3B6,4th layer,0.001456365,0.008035118,2.095007732
132,983,ENTREZ_983,CDK1,4th layer,0.003846131,0.018647908,1.729369888
133,5600,ENTREZ_5600,MAPK11,4th layer,0.176914867,0.449307598,0.347456237
134,22983,ENTREZ_22983,MAST1,4th layer,0.192717611,0.46022116,0.337033417
135,11065,ENTREZ_11065,UBE2C,4th layer,0.333427182,0.658621593,0.181364035
136,1460,ENTREZ_1460,CSNK2B,4th layer,0.776777735,0.999997771,9.68E-07
137,29896,ENTREZ_29896,TRA2A,4th layer,0.810509176,0.999997771,9.68E-07
138,3791,ENTREZ_3791,KDR,4th layer,0.823085133,0.999997771,9.68E-07
139,9898,ENTREZ_9898,UBAP2L,4th layer,0.998815547,0.999997771,9.68E-07
140,4085,ENTREZ_4085,MAD2L1,5th layer,1.26E-07,1.01E-05,4.996588683
141,65109,ENTREZ_65109,UPF3B,5th layer,2.38E-06,7.24E-05,4.140068469
142,6502,ENTREZ_6502,SKP2,5th layer,0.000258587,0.002068697,2.684303148
143,10001,ENTREZ_10001,MED6,5th layer,0.000496231,0.003308207,2.480407354
144,51194,ENTREZ_51194,IPO11,5th layer,0.005323459,0.024335811,1.613754169
145,6194,ENTREZ_6194,RPS6,5th layer,0.006795472,0.028612515,1.54344396
146,161424,ENTREZ_161424,NOP9,5th layer,0.01352244,0.049172507,1.308277646
147,6169,ENTREZ_6169,RPL38,5th layer,0.071753445,0.212602799,0.672431021
148,23612,ENTREZ_23612,PHLDA3,5th layer,0.987694547,0.999997771,9.68E-07
149,55755,ENTREZ_55755,CDK5RAP2,5th layer,0.618169112,0.999997771,9.68E-07
150,5589,ENTREZ_5589,PRKCSH,5th layer,0.999119479,0.999997771,9.68E-07
151,607,ENTREZ_607,BCL9,5th layer,0.991099271,0.999997771,9.68E-07
152,7090,ENTREZ_7090,TLE3,5th layer,0.873046021,0.999997771,9.68E-07
153,79991,ENTREZ_79991,STN1,5th layer,0.631589478,0.999997771,9.68E-07
154,9882,ENTREZ_9882,TBC1D4,5th layer,0.657946093,0.999997771,9.68E-07
155,9967,ENTREZ_9967,THRAP3,5th layer,0.595494707,0.999997771,9.68E-07
156,55839,ENTREZ_55839,CENPN,6th layer,0.000880521,0.005635335,2.24908026
157,64400,ENTREZ_64400,AKTIP,6th layer,0.161946066,0.417925332,0.378901304
158,10067,ENTREZ_10067,SCAMP3,6th layer,0.948510068,0.999997771,9.68E-07
159,3069,ENTREZ_3069,HDLBP,6th layer,0.843806477,0.999997771,9.68E-07
160,55658,ENTREZ_55658,RNF126,6th layer,0.997825779,0.999997771,9.68E-07
